index,Name_Hangul,Hypocoristic_Hangul,Name_IPA,Hypocoristic_IPA
1,가연,견,ka.jʌn,kjʌn
2,강태,태태,kaŋ.thɛ,thɛ.thɛ
3,경아,꼉,kjʌŋ.a,k'jʌŋ
4,규리,귤,kju.ri,kjul
5,기범,범,ki.pʌm,pʌm
6,기석,썩,ki.sʌk,s'ʌk
7,기욱,뀩,ki.uk,k'juk
8,기훈,뀬,ki.hun,k'jun
9,나영,녕,na.jʌŋ,njʌŋ
10,누리,눌,nu.ri,nul
11,다빈,답,ta.pin,tap
12,다예,뎨,ta.je,the
13,다은,단,ta.ɨn,tan
14,대영,뎡,tɛ.jʌŋ,tjʌŋ
15,대현,현,tɛ.hjʌn,hjʌn
16,도연,뎐,to.jʌn,tjʌn
17,도영,뎡,to.jʌŋ,tjʌŋ
18,도원,둰,to.wʌn,twʌn
19,도윤,됸,to.jun,tjon
20,도은,돈,to.ɨn,ton
21,도일,똘,to.il,t'ol
22,동원,똥,toŋ.wʌn,t'oŋ
23,동현,똥,toŋ.hjʌn,t'oŋ
24,동환,똥,toŋ.hwan,t'oŋ
25,두나,둔,tu.na,tun
26,리정,쩡,ri.tɕʌŋ,tɕ'ʌŋ
27,미르,밀,mi.rɨ,mil
28,미영,묭,mi.jʌŋ,mjoŋ
29,미진,징,mi.tɕin,tɕiŋ
30,미현,명,mi.hjʌn,mjʌŋ
31,미혜,몌,mi.hje,mje
32,민경,굥,min.kjʌŋ,kjoŋ
33,민서,밍,min.sʌ,miŋ
34,민수,뚜,min.su,t'u
35,민수,밍,min.su,miŋ
36,민수,쑤,min.su,s'u
37,민아,밍,min.a,miŋ
38,민영,녕,min.jʌŋ,njʌŋ
39,민영,묭,min.jʌŋ,mjoŋ
40,민욱,눅,min.uk,nuk
41,민율,뉼,min.jul,njul
42,민재,쨰,min.tɕɛ,tɕ'jɛ
43,민정,졍,min.tɕʌŋ,tɕjʌŋ
44,민주,쭈,min.tɕu,tɕ'u
45,민지,믽,min.tɕi,mintɕ
46,민지,밍,min.tɕi,miŋ
47,보미,봄,po.mi,pom
48,보미,뽀,po.mi,p'o
49,보연,변,po.jʌn,pjʌn
50,상규,뀨,saŋ.kju,k'ju
51,상민,쌍,saŋ.min,s'aŋ
52,서연,션,sʌ.jʌn,sjʌn
53,서영,셩,sʌ.jʌŋ,sjʌŋ
54,서원,썬,sʌ.wʌn,s'ʌn
55,서현,션,sʌ.hjʌn,sjʌn
56,서희,써,sʌ.hɥi,s'ʌ
57,석진,찐,sʌk.tɕin,tɕ'in
58,선호,썬,sʌn.ho,s'ʌn
59,성규,뀨,sʌŋ.kju,k'ju
60,성민,썽,sʌŋ.min,s'ʌŋ
61,성식,식,sʌŋ.sik,sik
62,성은,썽,sʌŋ.ɨn,s'ʌŋ
63,성준,쭌,sʌŋ.tɕun,tɕ'un
64,성혁,혁,sʌŋ.hjʌk,hjʌk
65,성훈,훈,sʌŋ.hun,hun
66,성희,셩,sʌŋ.hɥi,sjʌŋ
67,세영,셍,se.jʌŋ,seŋ
68,세영,솅,se.jʌŋ,sjeŋ
69,세은,센,se.ɨn,sen
70,세은,셍,se.ɨn,seŋ
71,소미,솜,so.mi,som
72,소영,숑,so.jʌŋ,sjoŋ
73,소영,쑝,so.jʌŋ,s'joŋ
74,소현,숀,so.hjʌn,sjon
75,소희,쏘,so.hɥi,s'o
76,수민,숨,su.min,sum
77,수빈,뚭,su.pin,t'up
78,수빈,숩,su.pin,sup
79,수빈,쑵,su.pin,s'up
80,수성,쉉,su.sʌŋ,swʌŋ
81,수아,솨,su.a,swa
82,수연,션,su.jʌn,sjʌn
83,수영,셩,su.jʌŋ,sjʌŋ
84,수지,숟,su.tɕi,sut
85,수지,숮,su.tɕi,sutɕ
86,수진,찐,su.tɕin,tɕ'in
87,수호,쏘,su.ho,s'o
88,수환,솬,su.hwan,swan
89,승규,뀨,sɨŋ.kju,k'ju
90,승아,뜽,sɨŋ.a,t'ɨŋ
91,승훈,쑹,sɨŋ.hun,s'uŋ
92,승희,뜽,sɨŋ.hɥi,t'ɨŋ
93,승희,승,sɨŋ.hɥi,sɨŋ 
94,승희,씅,sɨŋ.hɥi,s'ɨŋ
95,시영,셩,si.jʌŋ,sjʌŋ
96,시혁,셕,si.hjʌk,sjʌk
97,시혁,혁,si.hjʌk,hjʌk
98,시현,션,si.hjʌn,sjʌn
99,시현,쎤,si.hjʌn,s'jʌn
100,시형,셩,si.hjʌŋ,sjʌŋ
101,신희,띤,sin.hɥi,t'in
102,아름,름,a.rɨm,rɨm
103,아름,앎,a.rɨm,arm
104,연주,엱,jʌn.tɕu,jʌntɕ
105,연주,쭈,jʌn.tɕu,tɕ'u
106,예린,옐,je.rin,jel
107,예림,림,je.rim,rim
108,예림,옒,je.rim,jerm
109,예빈,삔,je.pin,p'in
110,예빈,옙,je.pin,jep
111,예은,옝,je.ɨn,jeŋ
112,예인,옌,je.in,jen
113,예지,옞,je.tɕi,jetɕ
114,예진,옞,je.tɕin,jetɕ
115,예진,찐,je.tɕin,tɕ'in
116,우혁,혁,u.hjʌk,hjʌk
117,원태,웡,wʌn.thɛ,wʌŋ
118,유경,갱,ju.kjʌŋ,kɛŋ
119,유나,뉸,ju.na,njun
120,유리,율,ju.ri,jul
121,유미,윰,ju.mi,jum
122,유민,윰,ju.min,jum
123,윤지,융,jun.tɕi,juŋ
124,은선,떤,ɨn.sʌn,t'ʌn
125,은영,녕,ɨn.jʌŋ,njʌŋ
126,은혜,네,ɨn.hje,ne
127,은혜,녜,ɨn.hje,nje
128,의열,열,ɥi.jʌl,jʌl
129,재민,잼,tɕɛ.min,tɕɛm
130,재연,잰,tɕɛ.jʌn,tɕɛn
131,재현,잰,tɕɛ.hjʌn,tɕɛn
132,재희,쟇,tɕɛ.hɥi,tɕɛh
133,재희,째,tɕɛ.hɥi,tɕ'ɛ
134,정연,쪙,tɕʌŋ.jʌn,tɕ'jʌŋ
135,정우,쩡,tɕʌŋ.u,tɕ'ʌŋ
136,정윤,융,tɕʌŋ.jun,juŋ
137,주경,갱,tɕu.kjʌŋ,kɛŋ
138,주민,줌,tɕu.min,tɕum
139,주아,쫘,tɕu.a,tɕ'wa
140,주안,좐,tɕu.an,tɕwan
141,주영,쪙,tɕu.jʌŋ,tɕ'jʌŋ
142,주은,쥰,tɕu.ɨn,tɕjun
143,주은,쭌,tɕu.ɨn,tɕ'un
144,주은,쮼,tɕu.ɨn,tɕ'jun
145,주호,쬬,tɕu.ho,tɕ'jo
146,주희,쥐,tɕu.hɥi,tɕwi
147,준영,쭌,tɕun.jʌŋ,tɕ'un
148,지민,짐,tɕi.min,tɕim
149,지수,짓,tɕi.su,tɕis
150,지연,뎐,tɕi.jʌn,tjʌn
151,지연,젼,tɕi.jʌn,tɕjʌn
152,지영,뎡,tɕi.jʌŋ,tjʌŋ
153,지영,졍,tɕi.jʌŋ,tɕjʌŋ
154,지예,졔,tɕi.je,tɕje
155,지우,쥬,tɕi.u,tɕju
156,지웅,즁,tɕi.uŋ,tɕjuŋ
157,지원,줜,tɕi.wʌn,tɕwʌn
158,지은,징,tɕi.ɨn,tɕiŋ
159,지현,젼,tɕi.hjʌn,tɕjʌn
160,지혜,제,tɕi.hje,tɕe
161,지혜,젱,tɕi.hje,tɕeŋ
162,지혜,졔,tɕi.hje,tɕje
163,지혜,졩,tɕi.hje,tɕjeŋ
164,지혜,쪠,tɕi.hje,tɕ'je
165,지호,죠,tɕi.ho,tɕjo
166,지환,쟌,tɕi.hwan,tɕjan
167,지환,좐,tɕi.hwan,tɕwan
168,지훈,쭌,tɕi.hun,tɕ'un
169,지희,짛,tɕi.hɥi,tɕih
170,진구,꾸,tɕin.ku,k'u
171,진영,녕,tɕin.jʌŋ,njʌŋ
172,진주,쭈,tɕin.tɕu,tɕ'u
173,창민,민,tɕhaŋ.min,min
174,채림,챎,tɕhɛ.rim,tɕhɛrm
175,채민,챔,tɕhɛ.min,tɕhɛm
176,채원,챙,tɕhɛ.wʌn,tɕhɛŋ
177,채학,학,tɕhɛ.hak,hak
178,태관,꽌,thɛ.kwan,k'wan
179,태란,탤,thɛ.ran,thɛl
180,태민,탬,thɛ.min,thɛm
181,태연,탱,thɛ.jʌn,thɛŋ
182,태영,텽,thɛ.jʌŋ,thjʌŋ
183,태용,툥,thɛ.joŋ,thjoŋ
184,태일,탤,thɛ.il,thɛl
185,하림,림,ha.rim,rim
186,하은,항,ha.ɨn,haŋ
187,형훈,훈,hjʌŋ.hun,hun
188,혜나,혠,hje.na,hjen
189,혜리,혤,hje.ri,hjel
190,혜림,혦,hje.rim,hjerm
191,혜미,혬,hje.mi,hjem
192,혜민,혬,hje.min,hjem
193,혜성,셩,hje.sʌŋ,sjʌŋ
194,혜수,혯,hje.su,hjes
195,혜영,형,hje.jʌŋ,hjʌŋ
196,혜은,혠,hje.ɨn,hjen
197,혜은,혱,hje.ɨn,hjeŋ
198,혜인,혠,hje.in,hjen
199,혜지,찌,hje.tɕi,tɕ'i
200,혜지,혲,hje.tɕi,hjetɕ
201,혜진,찐,hje.tɕin,tɕ'in
202,호영,형,ho.jʌŋ,hjʌŋ
203,효리,횰,hjo.ri,hjol
204,효빈,횹,hjo.pin,hjop
205,효성,셩,hjo.sʌŋ,sjʌŋ
206,효은,횬,hjo.ɨn,hjon
207,희수,슈,hɥi.su,sju
208,희윤,휸,hɥi.jun,hjun
209,희은,힁,hɥi.ɨn,hɥiŋ
210,희주,힂,hɥi.tɕu,hɥitɕ
211,희준,쭌,hɥi.tɕun,tɕ'un
